SPEEDS: 0, 0
 state    positions        speeds
29 : [5, 5, None] [11, 11, None]
SPEEDS: 2, 1
 state    positions        speeds
0 : [0, 0, None] [2, 1, None]
1 : [0, 0, None] [3, 2, None]
2 : [0, 0, None] [4, 3, None]
3 : [0, 0, None] [5, 4, None]
4 : [0, 0, None] [6, 5, None]
5 : [0, 0, None] [7, 6, None]
6 : [0, 0, None] [7, 7, None]
7 : [0, 0, None] [8, 8, None]
8 : [0, 0, None] [9, 9, None]
9 : [0, 0, None] [10, 10, None]
10 : [0, 0, None] [11, 11, None]
11 : [0, 0, None] [12, 12, None]
12 : [0, 0, None] [13, 13, None]
13 : [0, 0, None] [14, 13, None]
14 : [1, 3, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
28 : [5, 5, None] [11, 11, None]
SPEEDS: 2, 2
 state    positions        speeds
0 : [0, 0, None] [2, 2, None]
1 : [0, 0, None] [3, 3, None]
2 : [0, 0, None] [4, 4, None]
3 : [0, 0, None] [5, 5, None]
4 : [0, 0, None] [6, 6, None]
5 : [0, 0, None] [7, 7, None]
6 : [0, 0, None] [8, 8, None]
7 : [0, 0, None] [9, 9, None]
8 : [0, 0, None] [10, 10, None]
9 : [0, 0, None] [11, 11, None]
10 : [0, 0, None] [12, 12, None]
11 : [0, 0, None] [13, 13, None]
12 : [0, 0, None] [14, 14, None]
13 : [1, 3, None] [14, 14, None]
20 : [3, 4, None] [14, 14, None]
27 : [5, 5, None] [11, 11, None]
SPEEDS: 2, 3
 state    positions        speeds
0 : [0, 0, None] [2, 3, None]
1 : [0, 0, None] [3, 4, None]
2 : [0, 0, None] [4, 5, None]
3 : [0, 0, None] [5, 6, None]
4 : [0, 0, None] [6, 7, None]
5 : [0, 0, None] [7, 8, None]
6 : [0, 0, None] [8, 9, None]
7 : [0, 0, None] [9, 9, None]
8 : [0, 0, None] [10, 10, None]
9 : [0, 0, None] [11, 11, None]
10 : [0, 0, None] [12, 12, None]
11 : [0, 0, None] [13, 13, None]
12 : [0, 0, None] [14, 14, None]
13 : [1, 3, None] [14, 14, None]
20 : [3, 4, None] [14, 14, None]
27 : [5, 5, None] [11, 11, None]
SPEEDS: 2, 4
 state    positions        speeds
0 : [0, 0, None] [2, 4, None]
1 : [0, 0, None] [3, 5, None]
2 : [0, 0, None] [4, 6, None]
3 : [0, 0, None] [5, 7, None]
